Entidad;Erakundea;Calle;Código Postal;Población;Geo;Revisión;Teléfono;Web;Otros
Departamento de Medio Ambiente, Planificación Territorial y Vivienda;Ingurumen, Lurralde Plangintza eta Etxebizitza Saila;Donostia-San Sebastián, 1 - LAKUA;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-11-28 11:26:21 UTC;"";""
Viceconsejería de Cultura, Juventud y Deportes;Kultura, Gazteria eta Kirol Sailburuordetza;Donostia-San Sebastián, 1;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-11-30 11:11:46 UTC;"";""
Ayuntamiento de Ereño;Ereñoko Udala;Elexalde Auzoa, 10;48313;Ereño;43.3527752, -2.6139655;2011-09-21 21:07:28 UTC;946254621;http://www.ereno.org;fax: 94 - 625 65 94;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=48&mun=033&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=48033
Ayuntamiento de Gatika;Gatikako Udala;Garai auzoa, 1;48110;Gatika;43.3536885, -2.8839768;2011-09-21 21:07:28 UTC;946151201;http://www.gatika.net;fax: 946151490;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=48&mun=040&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=48040
Mínima Aldizkaria;Mínima Aldizkaria;Hurtado de Amezaga, 3 -  1º;48008;Bilbao;43.2587125318, -2.93142703711;2011-09-21 21:07:28 UTC;944160555;http://www.ikeder.es;fax: 944160406
HIRU Gipuzkoa - Lasarte Oria;;Oria etorbidea, 10 - 406 bulegoa;20160 ;Lasarte Oria;, ;2011-08-30 12:05:39 UTC;943364092;"";fax: 943363262
Ayuntamiento de Ea;Eako Udala;Donibane enparantza, 2;48287;Ea;43.3797012, -2.585572;2016-01-27 17:02:06 UTC;946275227;http://www.eakoudala.eus;fax: 946275199;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=48&mun=028&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=48028
Ayuntamiento de Elantxobe;Elantxobeko Udala;Nagusia, 21;48310;Elantxobe;43.4033562, -2.639843;2016-01-27 17:03:26 UTC;946276108;http://www.elantxobe.eu;fax: 946276215;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=48&mun=031&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=48031
Ayuntamiento de Etxebarri;Etxebarriko Udala;Sabino Arana y Goiri, 1 A;48450;Etxebarri;43.2468097279607, -2.89248336578208;2016-01-27 17:07:19 UTC;944267000;http://www.etxebarri.net;fax: 944491458;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=48&mun=029&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=48029
Ayuntamiento de Galdakao;Galdakaoko Udala;Kurtzeko plaza, 1;48960;Galdakao;43.2305556, -2.8458333;2016-01-27 17:10:55 UTC;944010500;http://www.galdakao.eus;fax: 944567843;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=48&mun=036&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=48036
Ayuntamiento de Munitibar (Arbatzegi-Gerrikaitz);Munitibar-Arbatzegi Gerrikaitzko Udala;Herriko plaza, 6 -  Olalde etxea;48381;Munitibar;43.2651845, -2.5930524;2016-01-27 17:31:56 UTC;946164007;http://www.munitibar.org;fax: 946164142;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=48&mun=007&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=48007
Ayuntamiento de Nabarniz;Nabarnizko Udala;Elexalde auzoa, 2;48312;Nabarniz;43.3562447, -2.6234492;2016-01-27 17:33:50 UTC;946255077;http://www.nabarniz.org;fax: 946256512;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=48&mun=909&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=48909
Ayuntamiento de Elduain;Elduaingo Udala;Udaletxea, 1;20493;Elduain;43.140712, -2.0004883;2016-02-10 10:16:28 UTC;943683121;http://www.elduain.eus;fax: 943683518;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=20&mun=031&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=20031
Ayuntamiento de Eskoriatza;Eskoriatzako Udala;Fernando Eskoriatza plaza, 1;20540;Eskoriatza;43.0174704, -2.5267036;2016-02-10 10:18:35 UTC;943714407;http://www.eskoriatza.eus;fax: 943714042;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=20&mun=034&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=20034
Ayuntamiento de Lasarte-Oria;Lasarte-Oriako Udala;Kale Nagusia, 22;20160;Lasarte-Oria;43.2703991, -2.0515005;2016-02-10 10:25:37 UTC;943376055;http://www.lasarte-oria.eus;fax: 943372659;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=20&mun=902&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=20902
Ayuntamiento de Zegama;Zegamako Udala;José Maiora enparantza, z/g.;20215;Zegama;42.9756773, -2.2900725;2016-02-10 10:39:34 UTC;943801115;http://www.zegama.eus;fax: 943800073;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=20&mun=025&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=20025
Urola Kostako Udal Elkartea/Mancomunidad Urola Kosta;Urola Kostako Udal Elkartea;Pol. Abendaño - Urdaneta bidea, 6;20800;Zarautz;43.2776169524, -2.17756402023;2016-02-10 10:47:01 UTC;943890808;http://www.urolakosta.org;fax: 943835147
HOBETUZ - Fundación Vasca para la Formación Profesional Continua;HOBETUZ - Langileen Prestakuntzarako Euskal Fundazioa;Gran Vía, 35 -  6º;48009;Bilbao;43.2625442259, -2.93353441012;2016-07-21 10:50:21 UTC;944150808;http://www.hobetuz.eus;fax: 944158636
Festival Internacional de Cine Documental y Cortometraje de Bilbao (ZINEBI);Bilboko Nazioarteko Zinema Labur eta Dokumentalaren Lehiaketa (ZINEBI);Colón de Larreategi, 37 -  4º Dcha.;48009;Bilbao;43.2636063842, -2.93318340749;2011-09-21 21:07:29 UTC;944248698;http://www.zinebi.com;fax: 94 - 424 56 24
Iraurgi Lantzen, S.A. - Agencia de Desarrollo de Urola Medio;Iraurgi Lantzen, S.A. - Urola Erdiako Garapen Agentzia;Julio Urkijo etorbidea, 25 -  3.a  Intsausti jauregia;20720;Azkoitia;43.170598, -2.3221622;2011-09-21 21:07:28 UTC;943851100;http://www.iraurgilantzen.net;fax: 943851681
El Anuncio Vasco (edición gratuíta);El Anuncio Vasco (dohako edizioa);Colón, 31 -  Paso - (Galerías Comerciales);20300;Irun;43.3404028834167, -1.79496618735825;2013-01-14 09:07:23 UTC;943617011/ 943619637;http://www.elanunciovasco.es;fax: 943617011
Publipyme Agencia;Publipyme Agencia;Tristán de Leguizamón, 4 -  Entreplanta;48007;Bilbao;43.2704503, -2.9250864;2011-09-21 21:07:29 UTC;944130795;http://www.publipyme.com;fax: 94 - 413 00 29
Triángulo Publicidad;Triángulo Publicidad;Arriquibar, 2 - plaza 1. ezk.;48008;Bilbao;43.2602477694819, -2.93586492787239;2012-03-28 08:26:47 UTC;944101288;http://www.triangulo-publicidad.com;fax: 944101284
Colegio Oficial de Trabajo Social de Bizkaia;Bizkaiko Gizarte Lagintzaren Elkargo Ofiziala;Jardines, 11 -  1º D;48005;Bilbao;43.2583809, -2.9245198;2014-02-06 19:19:53 UTC;944160740;""
Ilustre Colegio de Procuradores de los Tribunales de Bizkaia;Bizkaiko Auzitegietako Prokuradoreen Elkargo Ospetsua;Alameda Mazarredo, 5 -  2º;48001;Bilbao;43.2626079, -2.9292711;2011-09-21 21:07:29 UTC;944245410944234132;http://www.procuradoresvizcaya.com;fax: 94 - 424 05 18 / 94 - 423 55 15
Colegio Oficial de Peritos e Ingenieros de Gipuzkoa;Gipuzkoako Peritu eta Industri Injineru Teknikoen Elkargo Ofiziala;Zurriola hiribidea, 14 -  Behea;20002;Donostia-San Sebastián;43.3242484534, -1.97749376036;2014-02-06 20:09:34 UTC;943290500;http://www.copitig.com;fax: 943290534
Instituto Internacional de Sociología Jurídica de Oñati;Oñatiko Lege-Soziologiako Nazioarteko Erakundea;Unibertsitate etorbidea, 8 -  28 p.k.;20560;Oñati;43.0337953332, -2.41538312522;2014-02-28 13:28:31 UTC;943783064;http://www.iisj.net;fax: 943783147
DDA Comunicación;DDA Comunicación;Rodríguez Arias, 6 -  Dpto. 001;48008;Bilbao;43.2619016175, -2.93483188192;2011-09-21 21:07:29 UTC;944160673;http://www.ddacom.com;fax: 94 479 09 66
Joven Orquesta de Euskal Herria;Euskal Herriko Gazte Orkestra (EGO);Donostia-San Sebastian, 1 -  Lakua;01010;Vitoria-Gasteiz;42.8588503973, -2.68731699573;2014-02-28 13:30:46 UTC;945019466;""
Museo Diocesano de Arte Sacro - Eleizmuseoa Bizkaia;Museo Diocesano de Arte Sacro - Eleizmuseoa Bizkaia;Plaza de la Encarnación, 9 ;48006;Bilbao;43.2529796519571, -2.9212615525246;2014-03-01 08:34:13 UTC;944320125;http://www.eleizmuseoa.com;fax: 944320260
Garraiolariok (Revista de los Transportistas de Euskal Herria);Garraiolariok (Euskal Herriko Garraiolarien aldizkaria);Polígono industrial Los Llanos, calle A -  13;01230;Iruña Oka/Iruña de Oca;38.1165759, -6.5210051;2014-03-21 12:33:55 UTC;945361627;http://www.hiru.org;fax: 945361643
Lanku: Bertso zerbitzuak;Lanku: Bertso zerbitzuak;Martin Ugalde Kultur Parkea, z/g;20140;Andoain;43.2204799, -2.0211221;2014-02-12 17:57:08 UTC;943260755;http://www.lanku.com
HIRU Nafarroa;HIRU Nafarroa;Hego Morea industrialdea, 52 -  2. C;31191;Galar;42.7443867, -1.6663523;2014-02-14 08:27:02 UTC;948281024;http://www.hiru.org;fax: 948281025
Aikox, Informática y Publicidad, S.Coop.;Aikox, Informática y Publicidad, S.Coop.;Junqueral, 13 - 2ª plnata Oficina 1;48903;Barakaldo;43.286022096478, -3.00855161470524;2014-03-20 10:06:18 UTC;944970896;http://www.aikox.com;fax: 944036309
5 Sentidos (Turismo, Ocio y Cultura);5 Sentidos (Turismo, Aisia eta Kultura);Avenida García Barbón, 48 B -  Local 4 y 5;36201;Vigo;42.2381225, -8.713707;2014-08-18 10:16:21 UTC;986438020;"";fax: 986228516
AJEBASK BIZKAIA - Asociación de Jóvenes Empresarios/as de Bizkaia;AJEBASK BIZKAIA - Bizkaiko Enpresari Gazteen Elkartea;Alameda Mazarredo, 69 -  6º A;48009;Bilbao;43.267052, -2.9358471;2012-02-14 10:22:05 UTC;944355722;http://www.ajevizcaya.com;fax: 944355701
Instituto de Censores Jurados de Cuentas de España. Agrupación Territorial del País Vasco. Sede en Bilbao.;Zinezko Kontu Azterlarien Institutoa. Euskal Herriko Lurralde Elkartea. Bilboko egoitza.;Alameda Rekalde, 32 -  Ppal. Izda.;48009;Bilbao;43.2643214292, -2.93461760838;2011-09-21 21:07:30 UTC;946613210;http://www.censores-euskadi.com;fax: 944230977
EKA/OCUV - Delegación Getxo (Bizkaia);EKA/OCUV - Getxoko Ordezkaritza;Amesti, 6 -  1º  Dpto. 8;48993;Getxo;43.3716637, -3.0225754;2011-09-21 21:07:29 UTC;944912233;"";fax: 94 - 491 22 33
Archivo del Territorio Histórico de Álava;Araba Lurralde Historikoaren Agiritegia;Avda. Miguel Unamuno, 1;01006;Vitoria-Gasteiz;42.8394205, -2.6699348;2017-03-15 11:59:18 UTC;945181926;http://www.alava.eus/web/atha;fax: 945181929
Eregi, Euskara eta Komunikazioa;Eregi, Euskara eta Komunikazioa;Goiko kale, 5 -  3. A;20730;Azpeitia;43.1834725774324, -2.26631688182903;2012-10-30 11:45:09 UTC;943080688;http://www.eregi.net
Azpeitian Zer? (revista municipal);Azpeitian Zer? (udal aldizkaria);Plaza Nagusia, 5 -  Ayuntamiento;20730;Azpeitia;43.1619009, -2.2728877;2013-08-19 09:44:06 UTC;943157068;http://www.azpeitikoudala.com;fax: 943157201
EGAILAN- Sociedad Pública de Promoción de la Formación y el Empleo;EGAILAN - Enplegurako Gaitasuna Sortzeko Lana;Nieves Cano, 29 D;01006;Vitoria-Gasteiz;42.8384602, -2.6710273;2016-02-10 08:39:06 UTC;945017750;http://www.egailan.es;fax: 945017751
Colegio Oficial de Técnicos Superiores Proyectistas y Delineantes de Gipuzkoa;Gipuzkoako Goimailako Teknikari Proiektugileen eta Delineatzaileen Elkargo Ofiziala;Avenida Ategorrieta, 31 bajo;20013;Donostia-San Sebastián;43.3221393, -1.9680044;2016-06-13 07:52:51 UTC;"";""
Mediasal 2000, S.A.;Mediasal 2000, S.A.;Elcano, 9 - 3º - Oficina B;48004;Bilbao;43.2476212, -2.9081538;2016-06-28 07:11:58 UTC;944598600;"";fax: 944117880
ITELAZPI, S.A.;ITELAZPI, S.A.;Parque Tecnológico de Bizkaia. Ibaizabal bidea, 101;48170;Zamudio;43.292376, -2.8609864;2016-11-28 17:31:29 UTC;944032300;http://www.itelazpi.net;fax: 944032301
Asmatu XXI Comunicación y Márketing;Asmatu XXI Comunicación y Márketing;Polígono Masti-Loidi, 17 B;20100;Errenteria;43.3089882, -1.8952713;2014-03-20 11:59:22 UTC;943344517;http://www.asmatu.com;fax: 94334321
Ukberri.net (publicación digital de Uribe Kosta y Erandio);Ukberri.net (Uribe Kosta eta Erandioko agerkari digitala);Karitatea, 1 -  bajo oficina 9  Aldai kulturgunea;48991;Getxo;43.3552506, -3.0050628;2014-04-02 15:14:51 UTC;944910476;http://www.ukberri.net
Ayuntamiento de Mendexa;Mendexako Udala;Zelaia auzoa, 1;48289;Mendexa;43.3454928, -2.4851504;2011-09-21 21:07:30 UTC;946842106;http://www.mendexa.net;fax: 946840211;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=48&mun=063&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=48063
Consejo Vasco de Cooperación al Desarrollo;Garapenerako Lankidetzaren Euskal Kontseilua;"";"";;40.463667, -3.74922;2013-11-27 12:39:08 UTC;"";http://www.elankidetza.euskadi.net/x63-homev7/eu;funciones: http://www.jusap.ejgv.euskadi.net/r47-bopvvaci/es/bopv2/datos/2007/03/0701441a.pdf
Consulado de Colombia;Kolonbiaren Kontsulatua;Alameda Urquijo, 2 - 6º;48008;Bilbao;43.2614973, -2.9299219;2012-02-27 14:56:03 UTC;944230539;http://www.ccbilbaocitas.com;fax: 944230267
Garapen - Asociación Vasca de Agencias de Desarrollo;Garapen - Agentzien Euskal Elkartea;Parque Empresarial Boroa, 19 - Partzela 2. Solairua 16 Bulegoa;48340;Amorebieta-Etxano;43.264135359718, -2.92739240149268;2014-02-23 16:56:37 UTC;944243223;http://www.garapen.net;fax: 944248002
Etniker Euskalerria (Dpto. de Etnografía del Instituto Labayru);Etniker Euskalerria (Dpto. de Etnografía del Instituto Labayru);Larrauri, 1 A -  5.a;48160;Derio;43.2924984364, -2.87718416654;2011-09-21 21:07:30 UTC;944060171;http://www.labayru.org;fax: 94 - 406 01 73
Abanto Zierbenako Industrialdea, S.A.;Abanto Zierbenako Industrialdea, S.A.;El Campillo, 1 - Edif. Oficinas - 1ª - Dpto. 12;48500;Abanto y Ciérvana-Abanto Zierbena;43.3069508035034, -3.0830444072894;2011-11-24 14:34:01 UTC;946363350;http://www.abantoetazierbenakoindustrialdea.com;fax: 946363399
Fideliza, Márketing de Proximidad y Comunicación Global;Fideliza, Márketing de Proximidad y Comunicación Global;Mondragón, 11;01013;Vitoria-Gasteiz;42.8585428734775, -2.65529631559491;2014-03-21 12:21:07 UTC;902253500;http://www.grupoxabide.es;fax: 902253874
Nexus Publicidad y Márketing Estratégico, S.L.;Nexus Publicidad y Márketing Estratégico, S.L.;Plaza Sagrado Corazón, 4 - Subplanta 2 Dpto. 4;48011;Bilbao;43.271412024, -2.94327402642;2014-03-21 18:04:17 UTC;944424848;http://www.nexuspublicidad.com;fax: 944414847
LSB/USO - Langile Sindikal Batasuna/Unión Sindical Obrera;LSB/USO - Langile Sindikal Batasuna;Pablo Picasso, 2 -  Entreplanta;48012;Bilbao;43.2561614, -2.9344766;2011-10-28 09:16:42 UTC;944441466;http://www.lsb-uso.com;fax: 944447974
Litterae Vasconicae (Instituto Labayru);Litterae Vasconicae (Labayru ikastegia);Larrauri , 1 A -  4;48160;Derio;43.2920761, -2.8787611;2012-03-26 13:52:29 UTC;944060171;http://www.labayru.org;fax: 944060173
Colegio Oficial de Odontólogos y Estomatólogos de Bizkaia;Bizkaiko Odontologo eta Estomatologoen Elkargo Ofiziala;Alameda Rekalde, 72 -  Bajo;48012;Bilbao;43.2568594, -2.9372257;2011-09-21 21:07:30 UTC;944242980;http://www.coeb.com;fax: 94 - 423 31 23
Asociación Vasca de Periodistas - Euskal Kazetarien Elkartea;Asociación Vasca de Periodistas - Euskal Kazetarien Elkartea;Alameda San Mamés, 37 -  4º  Departamento 6;48010;Bilbao;43.2594291465, -2.93830295329;2011-09-21 21:07:30 UTC;944106040;http://www.periodistasvascos.com
SEASKA - Iparraldeko Ikastolen Elkartea;SEASKA - Iparraldeko Ikastolen Elkartea;Nere Pentzea - Route de la Pouponniere Bidea;64250;Baiona - Lapurdi;42.121109, -8.85016;2014-02-11 19:37:28 UTC;33559524924;http://www.seaska.net;fax: 33559528887
Bilduma;Bilduma;Archivo municipal - Herriko plaza, s/n.;20100;Errenteria;43.3089882, -1.8952713;2014-08-19 11:55:08 UTC;943449610;http://www.errenteria.net;fax: 943449660
Getxolan, Servicios de Promoción Económica y Empleo;Getxolan, Ekonomia Sustapenerako eta Enplegu Zerbitzuak;Ogoño, 1;48930;Areeta-Getxo;43.326676, -3.014935;2013-11-26 12:35:46 UTC;944660140;http://www.getxo.net/getxolan;fax: 944660149
14+1 Comunicación, S.L.;14+1 Comunicación, S.L.;Pº Ramón María Lilí , 1 - 1º Izda. Oficinas 7 y 8;20002;Donostia-San Sebastián;43.3235742, -1.9790166;2012-03-21 15:12:19 UTC;943279019;""
HABE - Instituto de Alfabetización y Reeuskaldunización de Adultos;HABE - Helduen Alfabetatze eta Berreuskalduntzerako Erakundea;Vitoria-Gasteiz, 3 -  6º;20018;Donostia-San Sebastián;43.3137174791645, -2.00531430212753;2016-11-29 10:26:35 UTC;943022600;http://www.habe.euskadi.eus;fax: 943022601
Ayuntamiento de Ribera Alta;Erriberagoitiako Udala;Alava, 2;01420;Ribera Alta;42.8168104, -2.8134784;2016-01-27 15:22:40 UTC;945362021;http://www.erriberagoitia.com;fax: 945362007;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=01&mun=046&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=01046
Ayuntamiento de Llodio;Laudioko Udala;Herriko plaza, s/n;01400;Llodio;43.1433325, -2.9629846;2016-01-27 15:25:45 UTC;944034800;http://www.laudio.eus;fax: 944034765;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=01&mun=036&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=01036
Empresas de Producción Escénica Asociadas de Euskadi - Eskena;Euskadiko Produkzio Eszenikoen Enpresa Elkarteak, Eskena;Langaran, 3;48004;Bilbao;43.2580402040778, -2.89823079151827;2017-02-10 10:30:58 UTC;946733518;http://www.eskena.org
Ayuntamiento de Larrabetzu;Larrabetzuko Udala;Askatasunaren enparantza, 1 -  1.a;48195;Larrabetzu;43.2610003, -2.7962568;2016-01-27 17:25:28 UTC;944557027;http://www.larrabetzuko.eus;fax: 944557029;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=48&mun=052&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=48052
Facultad de Humanitarias y Ciencias de la Educación (FHCE);Humanitate eta Hezkuntza Zientzien Fakultatea (HUHEZI);Dorleta - s/n ;20540;Eskoriatza;43.0160790995887, -2.52683229609794;2016-02-04 14:30:01 UTC;943714157;http://www.mondragon.edu/eu/huhezi;fax: 943714032
Cámara Francesa de Comercio e Industria para el Norte de España;Cámara Francesa de Comercio e Industria para el Norte de España;Edificio Abra 4 - Avda. de Zugazarte, 8 -  1º Dpto. 8;48930;Getxo;43.3273535, -3.0113166;2011-09-21 21:07:31 UTC;639305366;http://www.camarafrancesanorte.org
Oficina Meteorológica del Aeropuerto de Donostia-San Sebastián/Hondarribia;Donostia-San Sebastián/Hondarribia Aireportuko Meteorologi Bulegoa;Aeropuerto de Hondarribia;20280;Hondarribia;43.3556608, -1.7920808;2011-09-23 08:45:47 UTC;943640166;""
Instituto de Censores Jurados de Cuentas de España. Agrupación Territorial del País Vasco. Sede en Vitoria.;Zinezko Kontu Azterlarien Institutoa. Euskal Herriko Lurralde Elkartea. Gasteizko egoitza. ;General Álava, 10 -  3º  Dpto. 9;01005;Vitoria-Gasteiz;42.8450139813, -2.67312587132;2011-09-21 21:07:31 UTC;945154136;http://www.censores-eusk.com;fax: 945 - 13 20 84
Colegio Oficial de Ingenieros de Minas y Energía del País Vasco, Navarra, La Rioja y Soria;;José María Olabarri, 1 -  2º Dpto. 6;48001;Bilbao;43.2637606, -2.9269593;2014-02-06 19:45:20 UTC;944237667;http://www.colminasbi.org;fax: 944235545
Instituto Vasco de Medicina Legal;Auzitegiko Medikuntzako Euskal Erakundea;"";"";;42.8422168768851, -2.51467214037172;2014-10-31 09:55:04 UTC;"";"";funciones: http://www.lehendakaritza.ejgv.euskadi.net/r48-bopv2/es/p43aBOPVWebWar/VerParalelo.do?cd2012005186
Consejo Asesor del Patrimonio Arquitectónico Monumental de Euskadi;Euskadiko Ondare Arkitektoniko Monumentalaren Aholku Batzordea;"";"";;42.8422168768851, -2.51467214037172;2013-03-15 10:46:34 UTC;945019461;""
Comité Vasco de Justicia Deportiva;Kirol Justiziako Euskal Batzordea;Donostia-San Sebastián, 1 - LAKUA;01010;Vitoria Gasteiz;42.8588327148197, -2.68725856704953;2013-03-15 10:54:21 UTC;945019461;""
Comisión Mixta de Seguimiento del Plan de Informatización de la Administración de Justicia;Justizia Administrazioa Informatizatzeko Planaren Jarraipenerako Bitariko Batzordea;"";"";;42.8422168768851, -2.51467214037172;2013-05-03 10:40:58 UTC;"";"";funciones: http://www.bopv.euskadi.net/cgi-bin_k54/bopv_20?c&f=19941014&a=199403716
Consejo Asesor de Asistencia Jurídica Gratuita;Doako Laguntza Juridikoaren Aholku Kontseilua;"";"";;42.8422168768851, -2.51467214037172;2013-05-03 10:41:31 UTC;"";"";funciones: http://www.lehendakaritza.ejgv.euskadi.net/r48-bopv2/es/p43aBOPVWebWar/VerParalelo.do?cd2012003072
Observatorio Vasco de la Administración de Justicia;Justizia Administrazioaren Euskal Behatokia;"";"";;42.8422168768851, -2.51467214037172;2013-05-03 10:42:36 UTC;"";"";funciones: http://www.bopv.euskadi.net/cgi-bin_k54/bopv_20?c&f=20010518&a=200102632
Comisión para la aplicación de los derechos profesionales y pasivos del personal que prestó servicios a la Comunidad Autónoma del País Vasco;Euskal Autonomia Erkidegoko Administrazioan bere zerbitzuak egin zituzten Langileen Lanbide eta Gozamen Eskubideak aplikatzeko Batzordea;"";"";;42.8422168768851, -2.51467214037172;2013-05-03 10:43:01 UTC;"";"";funciones: http://www.bopv.euskadi.net/cgi-bin_k54/bopv_20?c&f=19830924&a=198301823
Ayuntamiento de Arrieta;Arrietako Udala;Barrio Libano, 14;48114;Arrieta;43.3417129, -2.7690667;2011-09-21 21:07:32 UTC;946153065;http://www.arrieta-udala.net;fax: 946153322;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=48&mun=010&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=48010
Ayuntamiento de Artea;Arteako Udala;Herriko plaza, 1;48142;Artea;43.1325101, -2.784926;2011-09-21 21:07:32 UTC;946739205946739217;http://www.artea-udala.org;fax: 946317208;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=48&mun=023&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=48023
Comité de Valoración de puestos de trabajo de la Administración General de la Comunidad Autónoma de Euskadi y sus Organismos Autónomos;EAEko Administrazio Orokorreko eta haren erakunde autonomoetako lanpostuak Balioesteko Batzordea;"";"";;42.8422168768851, -2.51467214037172;2013-05-03 10:43:19 UTC;"";"";funciones: http://www.bopv.euskadi.net/cgi-bin_k54/bopv_20?c&f=20050504&a=200502189
